GEOID,POPULATION,coverage_pct,pop_with_access
02021,23615,0.0,0
02186,27590,0.0,0
02136,36417,0.08338607296437532,3037
02126,29807,0.19380371749421907,5777
02131,34048,0.6752975009558309,22993
02121,29570,0.2320844283338565,6863
02130,42021,0.5601929404749557,23540
02119,27426,0.6339316488143676,17386
02120,15210,0.9999959552718579,15210
02115,29134,0.9379087220947722,27325
02026,25316,0.007155530800466742,181
02132,28263,0.26449715457612977,7475
02492,20679,0.0,0
02494,10498,0.0,0
02481,16121,0.0,0
02464,3706,0.13915440909883967,516
02459,18631,0.1630317526841006,3037
02461,6923,0.37717591135204726,2611
02467,22982,0.19935296649818238,4582
02445,20520,0.5193909725296316,10658
02045,10478,0.0,0
02124,57128,0.137855731160915,7875
02171,18227,0.0,0
02122,24874,0.06877973770470207,1711
02125,34725,0.45068983805674406,15650
02127,36941,0.47497230508757987,17546
02118,28892,0.8825867158661199,25500
02210,4538,0.22670421553508688,1029
02111,7949,0.993776363095122,7900
02116,23007,0.8423558756344184,19380
02468,5522,0.5996135490639157,3311
02462,1222,0.06675709539822129,82
02466,9292,0.4481055807867886,4164
02465,11967,0.168945412636594,2022
02135,45496,0.6585681314486529,29962
02460,9885,0.20281932038149353,2005
02458,12050,0.2719750567108054,3277
02493,12103,0.0,0
02453,29289,0.3061823635670083,8968
02472,35951,0.7017830364928441,25230
02446,29711,0.9767485835363939,29020
02215,26243,0.8413552558366086,22080
02199,1435,1.0,1435
02134,19552,0.8286899470258606,16203
02142,4074,0.7335248563412162,2988
02139,39702,0.7883163358603544,31298
02163,2343,0.9834553267294032,2304
02141,14437,0.978952694786501,14133
02138,39139,0.7222897921623471,28270
02143,25102,0.7396163571872625,18566
02110,2340,0.8065753776301886,1887
02108,4520,0.9999999999999999,4520
02203,24,0.9999999999999997,24
02114,13260,0.8782387968308141,11645
02109,3639,0.6804397366569364,2476
02113,7339,1.0,7339
02152,18558,0.0,0
02128,47804,0.20908635275842818,9995
02129,20504,0.40035567143462536,8209
02150,39862,0.0,0
02140,20954,0.7300755124580507,15298
02478,26123,0.003643981577255031,95
02474,27853,0.09785700255420361,2726
02145,28372,0.6041009425221656,17140
02144,25009,0.6497482869530975,16250
02155,60533,0.2976592372936041,18018
02149,46275,0.012748077799544105,590
02151,53416,0.6357466259261609,33959
