GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_grocery_minutes_fb_6,min_grocery_minutes_fb_7,min_grocery_minutes_fb_8,min_grocery_minutes_fb_9,min_grocery_minutes_fb_10,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5,min_access_minutes_fb_6,min_access_minutes_fb_7,min_access_minutes_fb_8,min_access_minutes_fb_9,min_access_minutes_fb_10
g1,144,0.0,0,58,4,40,3,0.06896551724137931,0.075,0.1957651449126371,49.4421171756792,7.810258625025007,49.4421171756792,248.7984152533522,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,12.01850425154663,12.01850425154663,12.01850425154663,12.01850425154663,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,49.4421171756792,12.01850425154663,12.01850425154663,12.01850425154663,12.01850425154663
g2,1076,0.0,0,407,12,305,17,0.029484029484029485,0.05573770491803279,0.193836414056616,44.869039222483245,16.954603000569634,44.869039222483245,248.83222902475265,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,9.428090415820634,9.428090415820634,9.428090415820634,9.428090415820634,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,44.869039222483245,9.428090415820634,9.428090415820634,9.428090415820634,9.428090415820634
g3,643,0.0,0,238,5,183,10,0.02100840336134454,0.0546448087431694,0.13654653564464217,44.140793018152706,20.46199066931437,44.140793018152706,248.92035131850645,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,44.140793018152706,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993
g4,2648,0.0,0,964,82,876,70,0.08506224066390042,0.07990867579908675,0.19498589908271272,44.970789245005136,6.361940464632248,44.970789245005136,245.48595039644889,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,13.743685418725535,13.743685418725535,13.743685418725535,13.743685418725535,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,44.970789245005136,13.743685418725535,13.743685418725535,13.743685418725535,13.743685418725535
g5,771,0.0,0,289,26,250,20,0.08996539792387544,0.08,0.19612987758084263,46.69727138318498,8.60241250686627,46.69727138318498,245.46508865709004,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,10.540925533894598,10.540925533894598,10.540925533894598,10.540925533894598,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,46.69727138318498,10.540925533894598,10.540925533894598,10.540925533894598,10.540925533894598
g6,101,0.0,0,47,6,27,2,0.1276595744680851,0.07407407407407407,0.19612876854571767,41.677227028760804,15.74477549832404,41.677227028760804,245.49946269211657,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,41.677227028760804,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993
g7,1700,0.0,0,632,14,484,27,0.022151898734177215,0.05578512396694215,0.1842965231257906,44.95047038389156,20.757770126258546,44.95047038389156,245.58904420069743,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,4.714045207910317,4.714045207910317,4.714045207910317,4.714045207910317,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,44.95047038389156,4.714045207910317,4.714045207910317,4.714045207910317,4.714045207910317
g8,275,0.0,0,102,2,78,4,0.0196078431372549,0.05128205128205128,0.18344290361490084,52.87195612328511,28.67925586565209,52.87195612328511,245.7337595193468,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,52.87195612328511,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
g9,12,0.0,0,6,1,3,0,0.16666666666666666,0.0,0.19613546644504468,40.39878117515495,1.789932394782058,40.39878117515495,242.15297553434897,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,40.39878117515495,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
g10,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,41.76120167864242,10.505062589383733,41.76120167864242,242.13176228788308,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,10.0,10.0,10.0,10.0,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,41.76120167864242,10.0,10.0,10.0,10.0
